,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path1_b,path2_b,path3_b,path1_av_i,path2_av_i,path3_av_i
86,10s,ignore,3,gaus_normal,"[17.978962557949203, 12.04687049088916]","[9.888759608326833, 4.911460799917341]","[16.66504301622508, 6.737911751440125]","[16.026232763218545, 14.660075720126363]","[7.5697257973941605, 6.408174999294528]","[14.322070152470282, 11.53348946803386]",[20.503593465280737],[10.631779550947446],[17.818144846402554]
87,10s,ignore,3,gaus_top,"[20.31553851562674, 12.544761118630374]","[9.114477949282616, 6.746936724856374]","[16.14757983950618, 7.336641352239393]","[18.757185008897792, 16.65923451465583]","[7.107429917417417, 6.236238770924969]","[14.484411543209879, 13.368246362253569]",[23.179127621844067],[10.824429638304974],[18.46324211111111]
88,10s,ignore,6,average,"[17.427140775942608, 10.631372887856866]","[10.698882782615946, 4.502677961015917]","[14.664077833333335, 4.946926601149587]","[16.37699760149038, 13.960267295276163]","[5.848229944527861, 7.188674863524133]","[12.316564506172842, 7.063895596459059]",[19.34154069586253],[11.201457249416084],[15.910795635802472]
89,10s,ignore,6,gaus_80,"[17.872442848641946, 11.972420785035077]","[8.077049016538453, 4.491132160127224]","[15.300866455460087, 6.296039418705056]","[16.712946830150525, 14.965164723177974]","[5.411013799883464, 6.538795421038256]","[12.474516971795587, 9.93786117688593]",[20.104028120224843],[8.956145870514693],[16.49740788315578]
90,10s,ignore,6,gaus_normal,"[17.510537152513407, 11.483751619381673]","[8.673310177060221, 4.181811581499217]","[15.24508944400081, 5.83185768300181]","[16.032588233124844, 14.669905112802633]","[5.440309155700309, 6.992767307192071]","[12.468701986466073, 8.682942886216725]",[19.43189482257212],[9.272838848727204],[16.465825666685486]
91,10s,ignore,6,gaus_top,"[18.632295831498165, 12.292097268519733]","[6.74394662345679, 4.336653752035807]","[15.22908428395062, 7.653513545189477]","[16.712791675564453, 16.424718925630618]","[5.047721651651652, 7.114938008951933]","[13.669617098765434, 13.761148887890139]",[22.253032063507952],[9.241746483650317],[16.774285707818933]
92,10s,ignore,12,average,"[16.659258738905574, 10.238331273864471]","[9.813534546504842, 3.335559276436068]","[13.970967589506172, 5.114196019168783]","[15.802937879268159, 12.847532226159917]","[5.766750500083416, 5.266695047284086]","[11.752381080246915, 6.359403518903003]",[17.844047269936603],[10.314330612654322],[15.276860867283952]
93,10s,ignore,12,gaus_80,"[17.028496980756046, 11.988313726773894]","[6.914856474220321, 3.0739638516921417]","[14.975539959121566, 6.091030521985035]","[15.82005582718756, 14.950179711836487]","[4.495829104185025, 3.718789063176164]","[11.721837901949083, 8.103693619580415]",[18.63869517988632],[7.661566055105927],[16.166847979844977]
94,10s,ignore,12,gaus_normal,"[16.867967489435635, 11.141260905658608]","[7.660079526705019, 2.921023154601346]","[14.71746245474908, 5.7354755139128955]","[15.406148026382258, 14.195566276253585]","[4.743287083351006, 3.970918320421268]","[11.864503983594458, 7.442455512104778]",[18.064897942307603],[8.16366190784993],[15.937533361385803]
95,10s,ignore,12,gaus_top,"[19.596716164831502, 14.517752898650162]","[5.3834601159492825, 3.343339000305003]","[14.680949839506175, 8.914244176580766]","[18.06734943943944, 15.843273723996992]","[6.55489117867868, 6.610323095249372]","[12.122330679012343, 12.21142913249726]",[23.212416375486598],[8.665758214381048],[16.43487032510288]
